mattername,ground_truth_question,rubric
Epstein (1),"How did Leon Black first meet Jeffrey Epstein, according to the Dechert LLP Epstein/Black/Apollo report?","1. The response should state that Leon Black was introduced to Jeffrey Epstein by a mutual friend. (1 point)
2. The response should include the approximate timing: the mid-1990s. (1 point)"
Epstein (1),"What role did Maxwell play when victims were undressed in front of Epstein, according to the Ghislaine Maxwell investigation overview?","1. The response should state that Maxwell was present with minor victims while they were undressed in front of Epstein. (1 point)
2. The response should state that Maxwell instructed minor victims on how to massage Epstein. (1 point)
3. The response should mention that the conduct included sexual contact. (1 point)"
Epstein (1),"Who is the New Mexico official Epstein notified, according to the U.S. v. Epstein defense letter?",1. The response should identify Detective Deborah Anaya as the New Mexico official Epstein notified. (1 point)
Epstein (1),"What happened to the Jeffrey Epstein child sex trafficking investigation after Epstein's death in August 2019, according to the Ghislaine Maxwell investigation overview?","1. The response should state that the child sex trafficking investigation continued after Epstein's death. (1 point)
2. The response should mention that the continued investigation pursued co-conspirators, including Ghislaine Maxwell. (1 point)"
Epstein (1),"Where did Lesley Groff attend college, according to the Lesley Groff FD-302 proffer interview?","1. The response should state that Lesley Groff attended college in North Texas. (1 point)
2. The response should mention that she was a UTD graduate. (1 point)"
Epstein (1),"What does the PSIQ ask for, according to the MCC New York Chief Psychologist FD-302?","1. The response should state that the PSIQ asks for mental health history. (1 point)
2. The response should state that it asks for symptoms being experienced at that time. (1 point)"
Epstein (1),"When did the South Australian complainant finish working at the Roman Pizza Bar, according to the South Australian complainant submission?",1. The answer should state that it was 13th Sept 2020 (1 point)
Epstein (1),"Who was identified as Jeffrey Epstein's biggest client, according to the Lesley Groff FD-302 proffer interview?",1. The response should identify Leslie Wexner as Jeffrey Epstein's biggest client. (1 point)
Epstein (1),"What did Epstein say about being alive, according to the MCC New York Chief Psychologist FD-302?","1. The response should state that Epstein said, ""Being alive is fun."" (1 point)"
Epstein (1),"Who was present on Lesley Groff's behalf during the proffer interview, according to the Lesley Groff FD-302 proffer interview?",1. The response should identify Michael Bachner as the attorney present on Lesley Groff's behalf. (1 point)
Epstein (1),"In the Epstein estate suit (19-cv-10476-PGG, SDNY), which doctrines does the plaintiff rely on to argue the claims are timely?","1. The response should identify equitable estoppel as a doctrine relied on by the plaintiff. (1 point)
2. The response should identify equitable tolling as a doctrine relied on by the plaintiff. (1 point)"
Epstein (1),"What did Ghislaine Maxwell's defense team allege regarding her awareness of Jeffrey Epstein's abuse of minor victims, according to the Ghislaine Maxwell investigation overview?","1. The response should state that the defense alleged Maxwell was targeted for crimes committed by Epstein. (1 point)
2. The response should state that the defense alleged Maxwell was unaware of Epstein's abuse of minor victims because he kept secrets from her. (1 point)
3. The response should mention alleged credibility issues among some victims. (1 point)
4. The response should mention the allegation that victims were financially motivated by the victims' compensation fund. (1 point)"
Epstein (1),"What are the key duties of the Chief Psychologist of MCC New York, according to the MCC New York Chief Psychologist FD-302?","1. The response should mention ensuring patients are seen and documentation is completed. (1 point)
2. The response should mention consulting on cases or reviewing reports. (1 point)
3. The response should mention ensuring forensic reports are timely. (1 point)"
Epstein (1),"Did Ghislaine Maxwell testify during her 2021 federal criminal trial, according to the Ghislaine Maxwell investigation overview?",1. The response should state that Ghislaine Maxwell did not testify during her 2021 federal criminal trial. (1 point)
Epstein (1),"According to the document, what actions were taken immediately to verify Jeffrey Epstein's whereabouts and travel dates in Florida?","1. The response should state that the speaker's wife made phone calls immediately. (1 point)
2. The response should mention calls to Canyon Ranch and the Porters. (1 point)
3. The response should state that the calls were used to determine or verify Florida travel dates. (1 point)"
Epstein (1),"In the plaintiff's opposition memo in the Epstein estate suit (19-cv-10476-PGG, SDNY), which section gives an overview of the plaintiff's position?",1. The response should identify the Preliminary Statement section as the overview of the plaintiff's position. (1 point)
Epstein (1),"Did Black ever see Epstein with an underage woman, according to the Dechert LLP Epstein/Black/Apollo report?",1. Response mentions that black has no recollection of ever seeing Epstein with an underage woman at any time. (1 point)
Epstein (1),"What had been widely reported in the press about Prince Andrew and his invitation to an FBI interview, according to the email: ""Media interest in possible interview of Prince Andrew related to Epstein case""",1. The response should state that press reports said Prince Andrew had declined an invitation to be interviewed by the FBI. (1 point)
Epstein (1),"Who may accept a subpoena for the accusers (First Parties) without violating the No Contact Order in the Palm Beach settlement of the 2008 Epstein civil case, according to the 2009 Epstein settlement agreement?","1. The response should identify Robert Josefsberg as someone who may accept a subpoena for the accusers without violating the No Contact Order. (1 point)
2. The response should identify Katherine Ezell as someone who may accept a subpoena for the accusers without violating the No Contact Order. (1 point)"
Epstein (1),"What did the defense allege regarding Maxwell's awareness of the abuse, according to the Ghislaine Maxwell investigation overview?","1. The response should state that the defense alleged Maxwell was targeted for crimes committed by Epstein. (1 point)
2. The response should state that the defense alleged Maxwell was unaware of the abuse because Epstein kept secrets from her. (1 point)
3. The response should mention alleged credibility issues among some victims. (1 point)
4. The response should mention the allegation that victims were financially motivated by the victims' compensation fund. (1 point)"
Epstein (1),"Why are SHU inmates required to have a cellmate, according to the MCC New York Chief Psychologist FD-302?","1. The response should state that requiring a cellmate decreases isolation and privacy. (1 point)
2. The response should state that a cellmate provides distraction. (1 point)
3. The response should state that a cellmate creates a rescue opportunity. (1 point)"
Epstein (1),"How many pain pills did the plaintiff in the 2009 settlement of Epstein's S.D. Fla. case (No. 09-CV-80656) say she took before visiting his house, according to the Palm Beach interrogatory-answers notice?","1. The response should state that the plaintiff said she usually took 1 to 2 pain pills. (1 point)
2. The response should state that she took them in the cab on the way to Epstein's house or within 30 minutes before arriving. (1 point)"
Epstein (1),"What factors were considered when assessing Epstein’s risk, according to the MCC New York Chief Psychologist FD-302?","1. The response should identify psychological health as a risk factor considered. (1 point)
2. The response should identify Epstein's high-profile status as a risk factor considered. (1 point)
3. The response should identify the sex offense charges as a risk factor considered. (1 point)"
Epstein (1),"What roles did the Chief Psychologist of MCC New York hold earlier in her career, according to the MCC New York Chief Psychologist FD-302?","1. The response should state that she was a Staff Psychologist at MDC Brooklyn from 2003 to 2006. (1 point)
2. The response should state that she was a Forensic Psychologist from 2006 to 2008. (1 point)"
Epstein (1),"How did Jeffrey Epstein's accuser describe Ghislaine Maxwell's role, according to the Dershowitz clarification motion?","1. The response should state that Epstein's accuser described Ghislaine Maxwell as the ""madame."" (1 point)"
Epstein (1),"What hypotheses were considered regarding the July 23 2019 incident, according to the MCC New York Chief Psychologist FD-302?","1. The response should mention the hypothesis that the incident was gaming by Epstein, Tartaglione, or both. (1 point)
2. The response should mention the hypothesis that it was a suicide rehearsal by Epstein if he was really suicidal. (1 point)
3. The response should mention the hypothesis that it was an assault by Tartaglione. (1 point)"
Epstein (1),"When did the relationship between Leon Black and Jeffrey Epstein begin to deteriorate, according to the Dechert LLP Epstein/Black/Apollo report?",1. Response mentions: beginning in 2016 (1 point)
Epstein (1),"According to Dechert LLP's January 2021 report on Leon Black's relationship with Jeffrey Epstein, what did Black believe about the nature of Epstein's criminal conduct?",1. Response mentions that the related offenses arose out of a single instance in which Epstein had received a massage from a 17 year old prostitute (1 point)
Epstein (1),"What sentence did Epstein receive in 2008, according to the ABC '7.30' transcript exhibit?","1. The response should state that Epstein received an 18-month jail sentence in 2008. (1 point)
2. The response should state that the sentence was for soliciting an underage girl for prostitution, or equivalent wording. (1 point)"
Epstein (1),"According to witness accounts in Dechert LLP's January 2021 report, how was Jeffrey Epstein's management style perceived by Leon Black's Family Office employees?","1. The response should describe Epstein as a strict taskmaster or difficult to work with. (1 point)
2. The response should mention that he was quick to criticize employees or overdramatized minor perceived errors. (1 point)
3. The response should mention that he sought credit for good ideas regardless of his involvement. (1 point)
4. The response should mention that some witnesses described the work environment as toxic or destructive. (1 point)
5. The response should also recognize that some witnesses said Epstein's pressure improved employee performance. (1 point)"
