ground_truth_question,field_id
"[Checkbox — Yes/No only] Daniel Robert Mitchell is currently present in Australia. If this is correct, return exactly ""yes""

For Respondent 1 — Daniel Robert Mitchell. Respondent 1: Present in Australia

FIELD TYPE: checkbox. Respond with EXACTLY one of: ""Yes"" or ""No"". Do NOT return any name, label, or other text — any value other than Yes/No will be discarded.

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",respondent_1_present_in_australia
"[Radio button — exact option only] Daniel Robert Mitchell is of Aboriginal and Torres Strait Islander origin? If this is correct, return exactly ""yes""

For Respondent 1 — Daniel Robert Mitchell. Respondent 1: Aboriginal/Torres Strait Islander - Yes Aboriginal and Torres Strait Islander

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Respondent 1: Aboriginal and/or torres strait islander origin"" (Is {{person}} of Aboriginal and/or Torres Strait Islander origin?): this field and [""Respondent 1: Aboriginal/Torres Strait Islander - No""; ""Respondent 1: Aboriginal/Torres Strait Islander - Yes Aboriginal""; ""Respondent 1: Aboriginal/Torres Strait Islander - Yes Torres Strait Islander""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",respondent_1_atsi_yes_both
"[Radio button — exact option only] Daniel Robert Mitchell is of Torres Strait Islander origin? If this is correct, return exactly ""yes""

For Respondent 1 — Daniel Robert Mitchell. Respondent 1: Aboriginal/Torres Strait Islander - Yes Torres Strait Islander

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Respondent 1: Aboriginal and/or torres strait islander origin"" (Is {{person}} of Aboriginal and/or Torres Strait Islander origin?): this field and [""Respondent 1: Aboriginal/Torres Strait Islander - No""; ""Respondent 1: Aboriginal/Torres Strait Islander - Yes Aboriginal""; ""Respondent 1: Aboriginal/Torres Strait Islander - Yes Aboriginal and Torres Strait Islander""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",respondent_1_atsi_yes_torres_strait
"[Radio button — exact option only] Daniel Robert Mitchell is not of Aboriginal and/or Torres Strait Islander origin? If this is correct, return exactly ""yes""

For Respondent 1 — Daniel Robert Mitchell. Respondent 1: Aboriginal/Torres Strait Islander - No

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Respondent 1: Aboriginal and/or torres strait islander origin"" (Is {{person}} of Aboriginal and/or Torres Strait Islander origin?): this field and [""Respondent 1: Aboriginal/Torres Strait Islander - Yes Aboriginal""; ""Respondent 1: Aboriginal/Torres Strait Islander - Yes Aboriginal and Torres Strait Islander""; ""Respondent 1: Aboriginal/Torres Strait Islander - Yes Torres Strait Islander""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",respondent_1_atsi_no
"[Radio button — exact option only] Daniel Robert Mitchell is of Aboriginal origin? If this is correct, return exactly ""yes""

For Respondent 1 — Daniel Robert Mitchell. Respondent 1: Aboriginal/Torres Strait Islander - Yes Aboriginal

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Respondent 1: Aboriginal and/or torres strait islander origin"" (Is {{person}} of Aboriginal and/or Torres Strait Islander origin?): this field and [""Respondent 1: Aboriginal/Torres Strait Islander - No""; ""Respondent 1: Aboriginal/Torres Strait Islander - Yes Aboriginal and Torres Strait Islander""; ""Respondent 1: Aboriginal/Torres Strait Islander - Yes Torres Strait Islander""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",respondent_1_atsi_yes_aboriginal
"[Radio button — exact option only] Sarah Jane Mitchell is of Torres Strait Islander origin? If this is correct, return exactly ""yes""

For Applicant 1 — Sarah Jane Mitchell. Applicant 1: Aboriginal/Torres Strait Islander - Yes Torres Strait Islander

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Applicant 1: Aboriginal and/or torres strait islander origin"" (Is {{person}} of Aboriginal and/or Torres Strait Islander origin?): this field and [""Applicant 1: Aboriginal/Torres Strait Islander - No""; ""Applicant 1: Aboriginal/Torres Strait Islander - Yes Aboriginal""; ""Applicant 1: Aboriginal/Torres Strait Islander - Yes Aboriginal and Torres Strait Islander""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",applicant1_indigenous_torres_strait
"[Radio button — exact option only] Sarah Jane Mitchell is not of Aboriginal and/or Torres Strait Islander origin? If this is correct, return exactly ""yes""

For Applicant 1 — Sarah Jane Mitchell. Applicant 1: Aboriginal/Torres Strait Islander - No

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Applicant 1: Aboriginal and/or torres strait islander origin"" (Is {{person}} of Aboriginal and/or Torres Strait Islander origin?): this field and [""Applicant 1: Aboriginal/Torres Strait Islander - Yes Aboriginal""; ""Applicant 1: Aboriginal/Torres Strait Islander - Yes Torres Strait Islander""; ""Applicant 1: Aboriginal/Torres Strait Islander - Yes Aboriginal and Torres Strait Islander""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",applicant1_indigenous_no
"[Radio button — exact option only] Sarah Jane Mitchell is of Aboriginal origin? If this is correct, return exactly ""yes""

For Applicant 1 — Sarah Jane Mitchell. Applicant 1: Aboriginal/Torres Strait Islander - Yes Aboriginal

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Applicant 1: Aboriginal and/or torres strait islander origin"" (Is {{person}} of Aboriginal and/or Torres Strait Islander origin?): this field and [""Applicant 1: Aboriginal/Torres Strait Islander - No""; ""Applicant 1: Aboriginal/Torres Strait Islander - Yes Torres Strait Islander""; ""Applicant 1: Aboriginal/Torres Strait Islander - Yes Aboriginal and Torres Strait Islander""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",applicant1_indigenous_aboriginal
"[Radio button — exact option only] Sarah Jane Mitchell is of Aboriginal and Torres Strait Islander origin? If this is correct, return exactly ""yes""

For Applicant 1 — Sarah Jane Mitchell. Applicant 1: Aboriginal/Torres Strait Islander - Yes Aboriginal and Torres Strait Islander

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Applicant 1: Aboriginal and/or torres strait islander origin"" (Is {{person}} of Aboriginal and/or Torres Strait Islander origin?): this field and [""Applicant 1: Aboriginal/Torres Strait Islander - No""; ""Applicant 1: Aboriginal/Torres Strait Islander - Yes Aboriginal""; ""Applicant 1: Aboriginal/Torres Strait Islander - Yes Torres Strait Islander""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",applicant1_indigenous_both
"[Radio button — exact option only] Is Daniel Robert Mitchell a male? answer exactly ""yes"" or ""no"" in lowercase

For Respondent 1 — Daniel Robert Mitchell. Respondent 1: Gender - M (male)

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Respondent 1: gender"" (What is {{person}}'s gender?): this field and [""Respondent 1: Gender - Choose not to answer""; ""Respondent 1: Gender - X (indeterminate/intersex/unspecified)""; ""Respondent 1: Gender - F (female)""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",respondent_1_gender_male
