ground_truth_question,item_id
"MATTER ROLES (authoritative - use these to keep the parties straight):
- The form being completed is: Initiating Application
- Applicant 1 is Sarah Jane Mitchell, represented by lawyer Imogen Forms of the law firm Second Up Family Law.
- Respondent 1 is Daniel Robert Mitchell, represented by lawyer Victoria Sue of the law firm Sue & Sue.
- Child 1 is Olivia Grace Mitchell.
- Child 2 is Liam Thomas Mitchell.

THIS QUESTION IS ABOUT: Respondent 1 - Daniel Robert Mitchell.
Do NOT use details belonging to Applicant 1 (Sarah Jane Mitchell); only Daniel Robert Mitchell's own details answer this.

SINGLE-CHOICE FORM QUESTION: Is Daniel Robert Mitchell of Aboriginal and/or Torres Strait Islander origin?

This is ONE form question whose options are mutually exclusive: exactly one option may hold a value. Decide the question once, then name the single option that is correct - do not treat the options as separate questions and do not select more than one.

OPTIONS:
  [1] option_id: respondent_1_atsi_yes_both
      form option: Respondent 1: Aboriginal/Torres Strait Islander - Yes Aboriginal and Torres Strait Islander
  [2] option_id: respondent_1_atsi_yes_torres_strait
      form option: Respondent 1: Aboriginal/Torres Strait Islander - Yes Torres Strait Islander
  [3] option_id: respondent_1_atsi_no
      form option: Respondent 1: Aboriginal/Torres Strait Islander - No
  [4] option_id: respondent_1_atsi_yes_aboriginal
      form option: Respondent 1: Aboriginal/Torres Strait Islander - Yes Aboriginal

EVIDENCE RULE:
- Answer only from the matter documents in this corpus.
- You may rely on what the documents establish directly (for example, a documented Australian residential address establishes that a person is present in and ordinarily resident in Australia, and a documented Australian place of birth establishes Australian citizenship for form purposes).
- Blank form scaffolding is NOT evidence. Unticked checkbox labels, printed lists of options with nothing selected, and empty template cells tell you nothing about this matter - ignore them.
- NEVER guess from a person's name. In particular, never infer gender from a first name: a gender counts as established only where a document records it (for example ""Gender: Male"").
- Search before concluding either way: a No or unknown claimed without a search targeted at this question's own subject is a wrong answer.
- Values often sit mid-row in long table text. When a search hit relates to this question, scan the hit's FULL text in code (string find or regex on the field's label) before concluding the value is absent - never judge from a truncated print.
- Person and firm details (addresses, emails, phone numbers, dates and places of birth, genders, lawyer codes) are recorded in the client intake form, the filled court forms, and the marriage certificate. For such fields, READ THOSE DOCUMENTS' FULL TEXT directly (iterate doc.items() and scan each document's text in code) rather than relying on search snippets; attribute each detail to the correct person by reading the surrounding section headings.
- If the documents do not establish the answer, say so instead of guessing.

If the documents do not establish which option is correct, choose unknown - that is a valid and expected answer for questions this matter's documents never address.

ANSWER FORMAT - your final answer must be exactly these two lines:
ANSWER: <one option_id from the list above, or the word unknown>
VALUE: <the value for the chosen option if it requires one, in the required format; otherwise write n/a>",group::Respondent 1: Aboriginal and/or torres strait islander origin
"MATTER ROLES (authoritative - use these to keep the parties straight):
- The form being completed is: Initiating Application
- Applicant 1 is Sarah Jane Mitchell, represented by lawyer Imogen Forms of the law firm Second Up Family Law.
- Respondent 1 is Daniel Robert Mitchell, represented by lawyer Victoria Sue of the law firm Sue & Sue.
- Child 1 is Olivia Grace Mitchell.
- Child 2 is Liam Thomas Mitchell.

THIS QUESTION IS ABOUT: Applicant 1 - Sarah Jane Mitchell.
Do NOT use details belonging to Respondent 1 (Daniel Robert Mitchell); only Sarah Jane Mitchell's own details answer this.

SINGLE-CHOICE FORM QUESTION: Is Sarah Jane Mitchell of Aboriginal and/or Torres Strait Islander origin?

This is ONE form question whose options are mutually exclusive: exactly one option may hold a value. Decide the question once, then name the single option that is correct - do not treat the options as separate questions and do not select more than one.

OPTIONS:
  [1] option_id: applicant1_indigenous_torres_strait
      form option: Applicant 1: Aboriginal/Torres Strait Islander - Yes Torres Strait Islander
  [2] option_id: applicant1_indigenous_no
      form option: Applicant 1: Aboriginal/Torres Strait Islander - No
  [3] option_id: applicant1_indigenous_aboriginal
      form option: Applicant 1: Aboriginal/Torres Strait Islander - Yes Aboriginal
  [4] option_id: applicant1_indigenous_both
      form option: Applicant 1: Aboriginal/Torres Strait Islander - Yes Aboriginal and Torres Strait Islander

EVIDENCE RULE:
- Answer only from the matter documents in this corpus.
- You may rely on what the documents establish directly (for example, a documented Australian residential address establishes that a person is present in and ordinarily resident in Australia, and a documented Australian place of birth establishes Australian citizenship for form purposes).
- Blank form scaffolding is NOT evidence. Unticked checkbox labels, printed lists of options with nothing selected, and empty template cells tell you nothing about this matter - ignore them.
- NEVER guess from a person's name. In particular, never infer gender from a first name: a gender counts as established only where a document records it (for example ""Gender: Male"").
- Search before concluding either way: a No or unknown claimed without a search targeted at this question's own subject is a wrong answer.
- Values often sit mid-row in long table text. When a search hit relates to this question, scan the hit's FULL text in code (string find or regex on the field's label) before concluding the value is absent - never judge from a truncated print.
- Person and firm details (addresses, emails, phone numbers, dates and places of birth, genders, lawyer codes) are recorded in the client intake form, the filled court forms, and the marriage certificate. For such fields, READ THOSE DOCUMENTS' FULL TEXT directly (iterate doc.items() and scan each document's text in code) rather than relying on search snippets; attribute each detail to the correct person by reading the surrounding section headings.
- If the documents do not establish the answer, say so instead of guessing.

If the documents do not establish which option is correct, choose unknown - that is a valid and expected answer for questions this matter's documents never address.

ANSWER FORMAT - your final answer must be exactly these two lines:
ANSWER: <one option_id from the list above, or the word unknown>
VALUE: <the value for the chosen option if it requires one, in the required format; otherwise write n/a>",group::Applicant 1: Aboriginal and/or torres strait islander origin
"MATTER ROLES (authoritative - use these to keep the parties straight):
- The form being completed is: Initiating Application
- Applicant 1 is Sarah Jane Mitchell, represented by lawyer Imogen Forms of the law firm Second Up Family Law.
- Respondent 1 is Daniel Robert Mitchell, represented by lawyer Victoria Sue of the law firm Sue & Sue.
- Child 1 is Olivia Grace Mitchell.
- Child 2 is Liam Thomas Mitchell.

THIS QUESTION IS ABOUT: Respondent 1 - Daniel Robert Mitchell.
Do NOT use details belonging to Applicant 1 (Sarah Jane Mitchell); only Daniel Robert Mitchell's own details answer this.

REMINDER FOR THIS GENDER QUESTION:
A person's first name is NOT evidence of their gender. Choose an option ONLY if a document explicitly records this person's gender (for example 'Gender: Male' on an intake form). If no document records it, the correct answer is unknown - even when the name strongly suggests a gender.
Before answering unknown, actually check: the client intake form records gender for the adult parties ('Gender:' fields in its personal-details and other-party sections) - read that document's full text for this person first. Children's genders are typically not recorded anywhere; unknown is the expected answer for a person whose gender no document states.

SINGLE-CHOICE FORM QUESTION: What is Daniel Robert Mitchell's gender?

This is ONE form question whose options are mutually exclusive: exactly one option may hold a value. Decide the question once, then name the single option that is correct - do not treat the options as separate questions and do not select more than one.

OPTIONS:
  [1] option_id: respondent_1_gender_male
      form option: Respondent 1: Gender - M (male)
  [2] option_id: respondent_1_gender_female
      form option: Respondent 1: Gender - F (female)
  [3] option_id: respondent_1_gender_choose_not_to_answer
      form option: Respondent 1: Gender - Choose not to answer
  [4] option_id: respondent_1_gender_x
      form option: Respondent 1: Gender - X (indeterminate/intersex/unspecified)

EVIDENCE RULE:
- Answer only from the matter documents in this corpus.
- You may rely on what the documents establish directly (for example, a documented Australian residential address establishes that a person is present in and ordinarily resident in Australia, and a documented Australian place of birth establishes Australian citizenship for form purposes).
- Blank form scaffolding is NOT evidence. Unticked checkbox labels, printed lists of options with nothing selected, and empty template cells tell you nothing about this matter - ignore them.
- NEVER guess from a person's name. In particular, never infer gender from a first name: a gender counts as established only where a document records it (for example ""Gender: Male"").
- Search before concluding either way: a No or unknown claimed without a search targeted at this question's own subject is a wrong answer.
- Values often sit mid-row in long table text. When a search hit relates to this question, scan the hit's FULL text in code (string find or regex on the field's label) before concluding the value is absent - never judge from a truncated print.
- Person and firm details (addresses, emails, phone numbers, dates and places of birth, genders, lawyer codes) are recorded in the client intake form, the filled court forms, and the marriage certificate. For such fields, READ THOSE DOCUMENTS' FULL TEXT directly (iterate doc.items() and scan each document's text in code) rather than relying on search snippets; attribute each detail to the correct person by reading the surrounding section headings.
- If the documents do not establish the answer, say so instead of guessing.

If the documents do not establish which option is correct, choose unknown - that is a valid and expected answer for questions this matter's documents never address.

ANSWER FORMAT - your final answer must be exactly these two lines:
ANSWER: <one option_id from the list above, or the word unknown>
VALUE: <the value for the chosen option if it requires one, in the required format; otherwise write n/a>",group::Respondent 1: gender
"MATTER ROLES (authoritative - use these to keep the parties straight):
- The form being completed is: Initiating Application
- Applicant 1 is Sarah Jane Mitchell, represented by lawyer Imogen Forms of the law firm Second Up Family Law.
- Respondent 1 is Daniel Robert Mitchell, represented by lawyer Victoria Sue of the law firm Sue & Sue.
- Child 1 is Olivia Grace Mitchell.
- Child 2 is Liam Thomas Mitchell.

THIS QUESTION IS ABOUT: Applicant 1 - Sarah Jane Mitchell.
Do NOT use details belonging to Respondent 1 (Daniel Robert Mitchell); only Sarah Jane Mitchell's own details answer this.

SINGLE-CHOICE FORM QUESTION: Does Sarah Jane Mitchell need an interpreter?

This is ONE form question whose options are mutually exclusive: exactly one option may hold a value. Decide the question once, then name the single option that is correct - do not treat the options as separate questions and do not select more than one.

OPTIONS:
  [1] option_id: applicant1_interpreter_yes
      form option: Applicant 1: Interpreter required - Yes
  [2] option_id: applicant1_interpreter_no
      form option: Applicant 1: Interpreter required - No

EVIDENCE RULE:
- Answer only from the matter documents in this corpus.
- You may rely on what the documents establish directly (for example, a documented Australian residential address establishes that a person is present in and ordinarily resident in Australia, and a documented Australian place of birth establishes Australian citizenship for form purposes).
- Blank form scaffolding is NOT evidence. Unticked checkbox labels, printed lists of options with nothing selected, and empty template cells tell you nothing about this matter - ignore them.
- NEVER guess from a person's name. In particular, never infer gender from a first name: a gender counts as established only where a document records it (for example ""Gender: Male"").
- Search before concluding either way: a No or unknown claimed without a search targeted at this question's own subject is a wrong answer.
- Values often sit mid-row in long table text. When a search hit relates to this question, scan the hit's FULL text in code (string find or regex on the field's label) before concluding the value is absent - never judge from a truncated print.
- Person and firm details (addresses, emails, phone numbers, dates and places of birth, genders, lawyer codes) are recorded in the client intake form, the filled court forms, and the marriage certificate. For such fields, READ THOSE DOCUMENTS' FULL TEXT directly (iterate doc.items() and scan each document's text in code) rather than relying on search snippets; attribute each detail to the correct person by reading the surrounding section headings.
- If the documents do not establish the answer, say so instead of guessing.

If the documents do not establish which option is correct, choose unknown - that is a valid and expected answer for questions this matter's documents never address.

ANSWER FORMAT - your final answer must be exactly these two lines:
ANSWER: <one option_id from the list above, or the word unknown>
VALUE: <the value for the chosen option if it requires one, in the required format; otherwise write n/a>",group::Applicant 1: interpreter
"MATTER ROLES (authoritative - use these to keep the parties straight):
- The form being completed is: Initiating Application
- Applicant 1 is Sarah Jane Mitchell, represented by lawyer Imogen Forms of the law firm Second Up Family Law.
- Respondent 1 is Daniel Robert Mitchell, represented by lawyer Victoria Sue of the law firm Sue & Sue.
- Child 1 is Olivia Grace Mitchell.
- Child 2 is Liam Thomas Mitchell.

THIS QUESTION IS ABOUT: Child 2 - Liam Thomas Mitchell.
Do NOT use details belonging to the other child(ren) (Olivia Grace Mitchell); only Liam Thomas Mitchell's own details answer this.

REMINDER FOR THIS GENDER QUESTION:
A person's first name is NOT evidence of their gender. Choose an option ONLY if a document explicitly records this person's gender (for example 'Gender: Male' on an intake form). If no document records it, the correct answer is unknown - even when the name strongly suggests a gender.
Before answering unknown, actually check: the client intake form records gender for the adult parties ('Gender:' fields in its personal-details and other-party sections) - read that document's full text for this person first. Children's genders are typically not recorded anywhere; unknown is the expected answer for a person whose gender no document states.

SINGLE-CHOICE FORM QUESTION: What is Liam Thomas Mitchell's gender?

This is ONE form question whose options are mutually exclusive: exactly one option may hold a value. Decide the question once, then name the single option that is correct - do not treat the options as separate questions and do not select more than one.

OPTIONS:
  [1] option_id: child_2_gender_choose_not_to_answer
      form option: Child 2: Gender - Choose not to answer
  [2] option_id: child_2_gender_indeterminate
      form option: Child 2: Gender - X (indeterminate/intersex/unspecified)
  [3] option_id: child_2_gender_female
      form option: Child 2: Gender - F (female)
  [4] option_id: child_2_gender_male
      form option: Child 2: Gender - M (male)

EVIDENCE RULE:
- Answer only from the matter documents in this corpus.
- You may rely on what the documents establish directly (for example, a documented Australian residential address establishes that a person is present in and ordinarily resident in Australia, and a documented Australian place of birth establishes Australian citizenship for form purposes).
- Blank form scaffolding is NOT evidence. Unticked checkbox labels, printed lists of options with nothing selected, and empty template cells tell you nothing about this matter - ignore them.
- NEVER guess from a person's name. In particular, never infer gender from a first name: a gender counts as established only where a document records it (for example ""Gender: Male"").
- Search before concluding either way: a No or unknown claimed without a search targeted at this question's own subject is a wrong answer.
- Values often sit mid-row in long table text. When a search hit relates to this question, scan the hit's FULL text in code (string find or regex on the field's label) before concluding the value is absent - never judge from a truncated print.
- Person and firm details (addresses, emails, phone numbers, dates and places of birth, genders, lawyer codes) are recorded in the client intake form, the filled court forms, and the marriage certificate. For such fields, READ THOSE DOCUMENTS' FULL TEXT directly (iterate doc.items() and scan each document's text in code) rather than relying on search snippets; attribute each detail to the correct person by reading the surrounding section headings.
- If the documents do not establish the answer, say so instead of guessing.

If the documents do not establish which option is correct, choose unknown - that is a valid and expected answer for questions this matter's documents never address.

ANSWER FORMAT - your final answer must be exactly these two lines:
ANSWER: <one option_id from the list above, or the word unknown>
VALUE: <the value for the chosen option if it requires one, in the required format; otherwise write n/a>",group::Child 2: gender
"MATTER ROLES (authoritative - use these to keep the parties straight):
- The form being completed is: Initiating Application
- Applicant 1 is Sarah Jane Mitchell, represented by lawyer Imogen Forms of the law firm Second Up Family Law.
- Respondent 1 is Daniel Robert Mitchell, represented by lawyer Victoria Sue of the law firm Sue & Sue.
- Child 1 is Olivia Grace Mitchell.
- Child 2 is Liam Thomas Mitchell.

THIS QUESTION IS ABOUT: Child 1 - Olivia Grace Mitchell.
Do NOT use details belonging to the other child(ren) (Liam Thomas Mitchell); only Olivia Grace Mitchell's own details answer this.

REMINDER FOR THIS GENDER QUESTION:
A person's first name is NOT evidence of their gender. Choose an option ONLY if a document explicitly records this person's gender (for example 'Gender: Male' on an intake form). If no document records it, the correct answer is unknown - even when the name strongly suggests a gender.
Before answering unknown, actually check: the client intake form records gender for the adult parties ('Gender:' fields in its personal-details and other-party sections) - read that document's full text for this person first. Children's genders are typically not recorded anywhere; unknown is the expected answer for a person whose gender no document states.

SINGLE-CHOICE FORM QUESTION: What is Olivia Grace Mitchell's gender?

This is ONE form question whose options are mutually exclusive: exactly one option may hold a value. Decide the question once, then name the single option that is correct - do not treat the options as separate questions and do not select more than one.

OPTIONS:
  [1] option_id: child_1_gender_indeterminate
      form option: Child 1: Gender - X (indeterminate/intersex/unspecified)
  [2] option_id: custom_1776587212064
      form option: Child 1 - Female
  [3] option_id: child_1_gender_male
      form option: Child 1: Gender - M (male)
  [4] option_id: child_1_gender_choose_not_to_answer
      form option: Child 1: Gender - Choose not to answer

EVIDENCE RULE:
- Answer only from the matter documents in this corpus.
- You may rely on what the documents establish directly (for example, a documented Australian residential address establishes that a person is present in and ordinarily resident in Australia, and a documented Australian place of birth establishes Australian citizenship for form purposes).
- Blank form scaffolding is NOT evidence. Unticked checkbox labels, printed lists of options with nothing selected, and empty template cells tell you nothing about this matter - ignore them.
- NEVER guess from a person's name. In particular, never infer gender from a first name: a gender counts as established only where a document records it (for example ""Gender: Male"").
- Search before concluding either way: a No or unknown claimed without a search targeted at this question's own subject is a wrong answer.
- Values often sit mid-row in long table text. When a search hit relates to this question, scan the hit's FULL text in code (string find or regex on the field's label) before concluding the value is absent - never judge from a truncated print.
- Person and firm details (addresses, emails, phone numbers, dates and places of birth, genders, lawyer codes) are recorded in the client intake form, the filled court forms, and the marriage certificate. For such fields, READ THOSE DOCUMENTS' FULL TEXT directly (iterate doc.items() and scan each document's text in code) rather than relying on search snippets; attribute each detail to the correct person by reading the surrounding section headings.
- If the documents do not establish the answer, say so instead of guessing.

If the documents do not establish which option is correct, choose unknown - that is a valid and expected answer for questions this matter's documents never address.

ANSWER FORMAT - your final answer must be exactly these two lines:
ANSWER: <one option_id from the list above, or the word unknown>
VALUE: <the value for the chosen option if it requires one, in the required format; otherwise write n/a>",group::Child 1: gender
"MATTER ROLES (authoritative - use these to keep the parties straight):
- The form being completed is: Initiating Application
- Applicant 1 is Sarah Jane Mitchell, represented by lawyer Imogen Forms of the law firm Second Up Family Law.
- Respondent 1 is Daniel Robert Mitchell, represented by lawyer Victoria Sue of the law firm Sue & Sue.
- Child 1 is Olivia Grace Mitchell.
- Child 2 is Liam Thomas Mitchell.

FORM QUESTION: When did the marriage take place?

Answer in exactly ONE of these three ways, with no other text:
  - the date in DD/MM/YYYY format - if the documents establish it
  - the single word not_applicable - if instead the correct answer to this form question is ""26. Date of marriage - Not applicable""
  - the single word unknown - if the documents establish neither

EVIDENCE RULE:
- Answer only from the matter documents in this corpus.
- You may rely on what the documents establish directly (for example, a documented Australian residential address establishes that a person is present in and ordinarily resident in Australia, and a documented Australian place of birth establishes Australian citizenship for form purposes).
- Blank form scaffolding is NOT evidence. Unticked checkbox labels, printed lists of options with nothing selected, and empty template cells tell you nothing about this matter - ignore them.
- NEVER guess from a person's name. In particular, never infer gender from a first name: a gender counts as established only where a document records it (for example ""Gender: Male"").
- Search before concluding either way: a No or unknown claimed without a search targeted at this question's own subject is a wrong answer.
- Values often sit mid-row in long table text. When a search hit relates to this question, scan the hit's FULL text in code (string find or regex on the field's label) before concluding the value is absent - never judge from a truncated print.
- Person and firm details (addresses, emails, phone numbers, dates and places of birth, genders, lawyer codes) are recorded in the client intake form, the filled court forms, and the marriage certificate. For such fields, READ THOSE DOCUMENTS' FULL TEXT directly (iterate doc.items() and scan each document's text in code) rather than relying on search snippets; attribute each detail to the correct person by reading the surrounding section headings.
- If the documents do not establish the answer, say so instead of guessing.",group::Date of marriage
"MATTER ROLES (authoritative - use these to keep the parties straight):
- The form being completed is: Initiating Application
- Applicant 1 is Sarah Jane Mitchell, represented by lawyer Imogen Forms of the law firm Second Up Family Law.
- Respondent 1 is Daniel Robert Mitchell, represented by lawyer Victoria Sue of the law firm Sue & Sue.
- Child 1 is Olivia Grace Mitchell.
- Child 2 is Liam Thomas Mitchell.

FORM QUESTION: What was the date of final separation, or is it not applicable?

Answer in exactly ONE of these three ways, with no other text:
  - the date in DD/MM/YYYY format - if the documents establish it
  - the single word not_applicable - if instead the correct answer to this form question is ""27. Date of final separation - Not applicable""
  - the single word unknown - if the documents establish neither

EVIDENCE RULE:
- Answer only from the matter documents in this corpus.
- You may rely on what the documents establish directly (for example, a documented Australian residential address establishes that a person is present in and ordinarily resident in Australia, and a documented Australian place of birth establishes Australian citizenship for form purposes).
- Blank form scaffolding is NOT evidence. Unticked checkbox labels, printed lists of options with nothing selected, and empty template cells tell you nothing about this matter - ignore them.
- NEVER guess from a person's name. In particular, never infer gender from a first name: a gender counts as established only where a document records it (for example ""Gender: Male"").
- Search before concluding either way: a No or unknown claimed without a search targeted at this question's own subject is a wrong answer.
- Values often sit mid-row in long table text. When a search hit relates to this question, scan the hit's FULL text in code (string find or regex on the field's label) before concluding the value is absent - never judge from a truncated print.
- Person and firm details (addresses, emails, phone numbers, dates and places of birth, genders, lawyer codes) are recorded in the client intake form, the filled court forms, and the marriage certificate. For such fields, READ THOSE DOCUMENTS' FULL TEXT directly (iterate doc.items() and scan each document's text in code) rather than relying on search snippets; attribute each detail to the correct person by reading the surrounding section headings.
- If the documents do not establish the answer, say so instead of guessing.",group::Date of final separation
"MATTER ROLES (authoritative - use these to keep the parties straight):
- The form being completed is: Initiating Application
- Applicant 1 is Sarah Jane Mitchell, represented by lawyer Imogen Forms of the law firm Second Up Family Law.
- Respondent 1 is Daniel Robert Mitchell, represented by lawyer Victoria Sue of the law firm Sue & Sue.
- Child 1 is Olivia Grace Mitchell.
- Child 2 is Liam Thomas Mitchell.

This question is about the application as a whole, not about one party.

FORM CONVENTION - ITEM 55c:
'Child of the de facto relationship' on this form means any child of the two parties' relationship, whether or not the parties subsequently married. If the documents record children of the parties, the correct option is Yes.

SINGLE-CHOICE FORM QUESTION: Is there a child of the de facto relationship?

This is ONE form question whose options are mutually exclusive: exactly one option may hold a value. Decide the question once, then name the single option that is correct - do not treat the options as separate questions and do not select more than one.

OPTIONS:
  [1] option_id: q55c_child_of_relationship_yes
      form option: 55c. Is there a child of the de facto relationship - Yes
  [2] option_id: q55c_child_of_relationship_no
      form option: 55c. Is there a child of the de facto relationship - No

EVIDENCE RULE:
- Answer only from the matter documents in this corpus.
- You may rely on what the documents establish directly (for example, a documented Australian residential address establishes that a person is present in and ordinarily resident in Australia, and a documented Australian place of birth establishes Australian citizenship for form purposes).
- Blank form scaffolding is NOT evidence. Unticked checkbox labels, printed lists of options with nothing selected, and empty template cells tell you nothing about this matter - ignore them.
- NEVER guess from a person's name. In particular, never infer gender from a first name: a gender counts as established only where a document records it (for example ""Gender: Male"").
- Search before concluding either way: a No or unknown claimed without a search targeted at this question's own subject is a wrong answer.
- Values often sit mid-row in long table text. When a search hit relates to this question, scan the hit's FULL text in code (string find or regex on the field's label) before concluding the value is absent - never judge from a truncated print.
- Person and firm details (addresses, emails, phone numbers, dates and places of birth, genders, lawyer codes) are recorded in the client intake form, the filled court forms, and the marriage certificate. For such fields, READ THOSE DOCUMENTS' FULL TEXT directly (iterate doc.items() and scan each document's text in code) rather than relying on search snippets; attribute each detail to the correct person by reading the surrounding section headings.
- If the documents do not establish the answer, say so instead of guessing.

If the documents do not establish which option is correct, choose unknown - that is a valid and expected answer for questions this matter's documents never address.

ANSWER FORMAT - your final answer must be exactly these two lines:
ANSWER: <one option_id from the list above, or the word unknown>
VALUE: <the value for the chosen option if it requires one, in the required format; otherwise write n/a>",group::55c: Child Of Relationship
"MATTER ROLES (authoritative - use these to keep the parties straight):
- The form being completed is: Initiating Application
- Applicant 1 is Sarah Jane Mitchell, represented by lawyer Imogen Forms of the law firm Second Up Family Law.
- Respondent 1 is Daniel Robert Mitchell, represented by lawyer Victoria Sue of the law firm Sue & Sue.
- Child 1 is Olivia Grace Mitchell.
- Child 2 is Liam Thomas Mitchell.

This question is about the application as a whole, not about one party.

FORM CONVENTION - ITEM 55b:
Where the parties married, this form leaves the de facto period item unanswered. Answer unknown here even if cohabitation dates are documented - do not compute the period.

SINGLE-CHOICE FORM QUESTION: Has the relationship lasted at least two years?

This is ONE form question whose options are mutually exclusive: exactly one option may hold a value. Decide the question once, then name the single option that is correct - do not treat the options as separate questions and do not select more than one.

OPTIONS:
  [1] option_id: q55b_period_two_years_no
      form option: 55b. Is the period at least two years - No
  [2] option_id: q55b_period_two_years_yes
      form option: 55b. Is the period at least two years - Yes

EVIDENCE RULE:
- Answer only from the matter documents in this corpus.
- You may rely on what the documents establish directly (for example, a documented Australian residential address establishes that a person is present in and ordinarily resident in Australia, and a documented Australian place of birth establishes Australian citizenship for form purposes).
- Blank form scaffolding is NOT evidence. Unticked checkbox labels, printed lists of options with nothing selected, and empty template cells tell you nothing about this matter - ignore them.
- NEVER guess from a person's name. In particular, never infer gender from a first name: a gender counts as established only where a document records it (for example ""Gender: Male"").
- Search before concluding either way: a No or unknown claimed without a search targeted at this question's own subject is a wrong answer.
- Values often sit mid-row in long table text. When a search hit relates to this question, scan the hit's FULL text in code (string find or regex on the field's label) before concluding the value is absent - never judge from a truncated print.
- Person and firm details (addresses, emails, phone numbers, dates and places of birth, genders, lawyer codes) are recorded in the client intake form, the filled court forms, and the marriage certificate. For such fields, READ THOSE DOCUMENTS' FULL TEXT directly (iterate doc.items() and scan each document's text in code) rather than relying on search snippets; attribute each detail to the correct person by reading the surrounding section headings.
- If the documents do not establish the answer, say so instead of guessing.

If the documents do not establish which option is correct, choose unknown - that is a valid and expected answer for questions this matter's documents never address.

ANSWER FORMAT - your final answer must be exactly these two lines:
ANSWER: <one option_id from the list above, or the word unknown>
VALUE: <the value for the chosen option if it requires one, in the required format; otherwise write n/a>",group::55b: Period Two Years
