ground_truth_question
"How did Leon Black first meet Jeffrey Epstein, according to the Dechert LLP Epstein/Black/Apollo report?"
"What role did Maxwell play when victims were undressed in front of Epstein, according to the Ghislaine Maxwell investigation overview?"
"Who is the New Mexico official Epstein notified, according to the U.S. v. Epstein defense letter?"
"What happened to the Jeffrey Epstein child sex trafficking investigation after Epstein's death in August 2019, according to the Ghislaine Maxwell investigation overview?"
"Where did Lesley Groff attend college, according to the Lesley Groff FD-302 proffer interview?"
"What does the PSIQ ask for, according to the MCC New York Chief Psychologist FD-302?"
"When did the South Australian complainant finish working at the Roman Pizza Bar, according to the South Australian complainant submission?"
"Who was identified as Jeffrey Epstein's biggest client, according to the Lesley Groff FD-302 proffer interview?"
"What did Epstein say about being alive, according to the MCC New York Chief Psychologist FD-302?"
"Who was present on Lesley Groff's behalf during the proffer interview, according to the Lesley Groff FD-302 proffer interview?"
"In the Epstein estate suit (19-cv-10476-PGG, SDNY), which doctrines does the plaintiff rely on to argue the claims are timely?"
"What did Ghislaine Maxwell's defense team allege regarding her awareness of Jeffrey Epstein's abuse of minor victims, according to the Ghislaine Maxwell investigation overview?"
"What are the key duties of the Chief Psychologist of MCC New York, according to the MCC New York Chief Psychologist FD-302?"
"Did Ghislaine Maxwell testify during her 2021 federal criminal trial, according to the Ghislaine Maxwell investigation overview?"
"According to the document, what actions were taken immediately to verify Jeffrey Epstein's whereabouts and travel dates in Florida?"
"In the plaintiff's opposition memo in the Epstein estate suit (19-cv-10476-PGG, SDNY), which section gives an overview of the plaintiff's position?"
"Did Black ever see Epstein with an underage woman, according to the Dechert LLP Epstein/Black/Apollo report?"
"What had been widely reported in the press about Prince Andrew and his invitation to an FBI interview, according to the email: ""Media interest in possible interview of Prince Andrew related to Epstein case"""
"Who may accept a subpoena for the accusers (First Parties) without violating the No Contact Order in the Palm Beach settlement of the 2008 Epstein civil case, according to the 2009 Epstein settlement agreement?"
"What did the defense allege regarding Maxwell's awareness of the abuse, according to the Ghislaine Maxwell investigation overview?"
"Why are SHU inmates required to have a cellmate, according to the MCC New York Chief Psychologist FD-302?"
"How many pain pills did the plaintiff in the 2009 settlement of Epstein's S.D. Fla. case (No. 09-CV-80656) say she took before visiting his house, according to the Palm Beach interrogatory-answers notice?"
"What factors were considered when assessing Epstein’s risk, according to the MCC New York Chief Psychologist FD-302?"
"What roles did the Chief Psychologist of MCC New York hold earlier in her career, according to the MCC New York Chief Psychologist FD-302?"
"How did Jeffrey Epstein's accuser describe Ghislaine Maxwell's role, according to the Dershowitz clarification motion?"
"What hypotheses were considered regarding the July 23 2019 incident, according to the MCC New York Chief Psychologist FD-302?"
"When did the relationship between Leon Black and Jeffrey Epstein begin to deteriorate, according to the Dechert LLP Epstein/Black/Apollo report?"
"According to Dechert LLP's January 2021 report on Leon Black's relationship with Jeffrey Epstein, what did Black believe about the nature of Epstein's criminal conduct?"
"What sentence did Epstein receive in 2008, according to the ABC '7.30' transcript exhibit?"
"According to witness accounts in Dechert LLP's January 2021 report, how was Jeffrey Epstein's management style perceived by Leon Black's Family Office employees?"
"How did Lesley Groff describe the relationship between Jeffrey Epstein and Ghislaine Maxwell, according to the Lesley Groff FD-302 proffer interview?"
"What follow-up applies to Code 2 inmates, according to the MCC New York Chief Psychologist FD-302?"
"Did Lesley Groff travel with Jeffrey Epstein, according to the Lesley Groff FD-302 proffer interview?"
"Which mental-health institution is named in the South Australian complainant's 2017 unlawful-detention claim, according to the South Australian complainant submission?"
"What date of entry appears on the FBI's report of Lesley Groff's proffer interview, according to the Lesley Groff FD-302 proffer interview?"
"What media outlet aired a panel discussion on Jeffrey Epstein featuring Kimberly B. Mehlman-Orozco on August 9, 2019, according to Dr. Kimberly B. Mehlman-Orozco's CV?"
"Which company published the South Australian complainant's first novel, Reality, according to the South Australian complainant submission?"
"Who are the Plaintiffs/Counterclaim Defendants in the Broward County case against Alan Dershowitz (No. CACE 15-000072), according to the Dershowitz clarification motion?"
"What happened after Lesley Groff attended a party with her husband in her first month working for Epstein, according to the Lesley Groff FD-302 proffer interview? And why?"
"When did former President Bill Clinton leave office, according to the Dershowitz clarification motion?"
"Did Jeffrey Epstein's accuser in the 2008 litigation state she was ever paid more than $200 per visit by him, according to the Palm Beach interrogatory-answers notice?"
"How was Jeffrey Epstein described to Lesley Groff before she met him, according to the Lesley Groff FD-302 proffer interview?"
"What was the title of the South Australian complainant's first novel, according to the South Australian complainant submission?"
"What conditions apply to inmates on Suicide Watch, according to the MCC New York Chief Psychologist FD-302?"
"Who is named as defendant in the 2008 Palm Beach civil case (No. 50 2008 CA 028058), according to the Palm Beach interrogatory-answers notice?"
